Designator,Mid X,Mid Y,Layer,Rotation
C12,100.950000mm,-112.200000mm,Top,90.000
C13,99.200000mm,-104.450000mm,Top,90.000
C14,95.000000mm,-107.600000mm,Top,0.000
C15,56.900000mm,-78.650000mm,Top,90.000
C16,58.900000mm,-78.550000mm,Top,270.000
C17,86.400000mm,-142.050000mm,Top,270.000
C18,85.750000mm,-137.850000mm,Top,90.000
C19,118.450000mm,-104.750000mm,Top,0.000
C20,72.600000mm,-93.900000mm,Top,180.000
C21,85.300000mm,-92.800000mm,Top,270.000
C22,117.250000mm,-69.800000mm,Top,270.000
C23,93.675000mm,-74.700000mm,Top,270.000
C28,91.600000mm,-72.950000mm,Top,270.000
C30,105.500000mm,-70.710000mm,Top,90.000
C5,111.450000mm,-141.250000mm,Top,270.000
C6,109.450000mm,-141.450000mm,Top,270.000
C7,61.025000mm,-126.525000mm,Top,0.000
C8,111.450000mm,-137.750000mm,Top,90.000
D1,61.625000mm,-117.800000mm,Top,180.000
D5,138.750000mm,-138.300000mm,Top,90.000
D7,79.400000mm,-72.450000mm,Top,180.000
D9,79.450000mm,-76.650000mm,Top,180.000
FB1,95.050000mm,-105.350000mm,Top,180.000
J16,133.100000mm,-144.950000mm,Top,0.000
R1,134.025000mm,-58.100000mm,Top,180.000
R11,85.100000mm,-135.000000mm,Top,180.000
R12,73.650000mm,-134.975000mm,Top,270.000
R13,101.750000mm,-104.450000mm,Top,270.000
R14,95.900000mm,-109.800000mm,Top,0.000
R15,106.900000mm,-107.400000mm,Top,270.000
R16,101.650000mm,-88.800000mm,Top,90.000
R17,95.100000mm,-119.800000mm,Top,90.000
R18,72.750000mm,-91.550000mm,Top,180.000
R19,57.050000mm,-69.150000mm,Top,270.000
R2,83.400000mm,-141.250000mm,Top,0.000
R20,85.100000mm,-133.400000mm,Top,180.000
R21,119.975000mm,-131.525000mm,Top,180.000
R22,113.550000mm,-137.850000mm,Top,90.000
R23,86.550000mm,-123.500000mm,Top,90.000
R24,120.750000mm,-133.250000mm,Top,0.000
R25,131.340000mm,-138.560000mm,Top,90.000
R26,133.860000mm,-138.440000mm,Top,90.000
R27,112.160000mm,-125.820000mm,Top,0.000
R28,112.150000mm,-127.410000mm,Top,0.000
R29,110.425000mm,-130.850000mm,Top,180.000
R3,83.450000mm,-139.500000mm,Top,0.000
R30,110.425000mm,-129.250000mm,Top,180.000
R31,87.460000mm,-109.525000mm,Top,270.000
R32,84.950000mm,-109.525000mm,Top,270.000
R33,82.440000mm,-109.525000mm,Top,270.000
R34,101.825000mm,-100.550000mm,Top,0.000
R35,96.750000mm,-119.800000mm,Top,270.000
R36,70.950000mm,-133.725000mm,Top,270.000
R37,71.350000mm,-124.500000mm,Top,90.000
SW1,64.100000mm,-142.375000mm,Top,180.000
SW2,127.150000mm,-125.500000mm,Top,270.000
U1,98.210000mm,-69.700000mm,Top,180.000
U2,62.625000mm,-122.957500mm,Top,90.000
U4,100.250000mm,-108.550000mm,Top,270.000
U5,111.062500mm,-101.300000mm,Top,180.000
U6,124.800000mm,-93.000000mm,Top,270.000
U7,79.450000mm,-93.050000mm,Top,270.000
U8,98.325000mm,-133.230000mm,Top,180.000
